"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-11042024-065342";"";
"REFERENCE";"PHF SK-32MM";"";
"TraceParts.PartTitle";"QD Bushing";"";
"TraceParts.InstanceId";"32-11042024-065342F5OGYRB0LX7CHPBDEU8HO2RT";"";
"SUPPLIER";"SKF";"";
"DESIGN";"QD Bushing";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.8";"";
